source,variant,head_or_model,latent_dim,compression_ratio,head_C,selected_by,split,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,directional_accuracy_non_neutral,opposite_direction_rate
raw_window_baseline,majority,majority,,,,step5_fixed_baseline_policy,val,0.7458333333333333,0.3333333333333333,0.284805091487669,0.0,0.7618507740327296,0.0,0.0
raw_window_baseline,majority,majority,,,,step5_fixed_baseline_policy,test,0.6440972222222222,0.3333333333333333,0.2611756423794438,0.0,0.8980340956307887,0.0,0.0
raw_window_baseline,logistic_regression,logistic_regression,,,,step5_fixed_baseline_policy,val,0.6633333333333333,0.4946486709013054,0.4803201168374691,0.2399566764423691,2.425662632666108,0.3540983606557377,0.160655737704918
raw_window_baseline,logistic_regression,logistic_regression,,,,step5_fixed_baseline_policy,test,0.4826388888888889,0.4098174566651327,0.3972161896259727,0.1006766858391183,4.162410903535304,0.3317073170731707,0.1975609756097561
raw_window_baseline,mlp,mlp,,,,step5_fixed_baseline_policy,val,0.705,0.455172518205629,0.4539257741002482,0.257306846149358,0.7620767229495472,0.2459016393442623,0.2524590163934426
raw_window_baseline,mlp,mlp,,,,step5_fixed_baseline_policy,test,0.4036458333333333,0.4513115508513576,0.3815527430157779,0.1623516160032911,1.2766523863286734,0.5024390243902439,0.3365853658536585
matched_raw_window_head,raw_window_logistic_tuned,logistic_regression,4000.0,1.0,0.1,val_macro_f1_tie_mcc_log_loss,train,0.8632142857142857,0.9041927922394924,0.8459229633814772,0.7683474035083155,0.3894187812379068,0.946521287642783,0.004672897196261682
matched_raw_window_head,raw_window_logistic_tuned,logistic_regression,4000.0,1.0,0.1,val_macro_f1_tie_mcc_log_loss,val,0.685,0.4970286822207341,0.48983705450867815,0.2590733663615684,1.2542307333272305,0.34098360655737703,0.16393442622950818
matched_raw_window_head,raw_window_logistic_tuned,logistic_regression,4000.0,1.0,0.1,val_macro_f1_tie_mcc_log_loss,test,0.4652777777777778,0.4078934104704928,0.39038251784027866,0.09779437575894978,2.0499886610372218,0.3463414634146341,0.21951219512195122
frozen_latent_head,last_snapshot_repeat@40,logistic_regression,40.0,100.0,10.0,val_macro_f1_tie_mcc_log_loss,train,0.5432142857142858,0.6168933206123183,0.5215595767085066,0.3441839126298704,0.9204692205471648,0.6931464174454829,0.16822429906542055
frozen_latent_head,last_snapshot_repeat@40,logistic_regression,40.0,100.0,10.0,val_macro_f1_tie_mcc_log_loss,val,0.6816666666666666,0.5855007268722395,0.5427810913509373,0.3368218516211011,0.7340703003345784,0.49836065573770494,0.14098360655737704
frozen_latent_head,last_snapshot_repeat@40,logistic_regression,40.0,100.0,10.0,val_macro_f1_tie_mcc_log_loss,test,0.4392361111111111,0.5509280564503758,0.43553963155392905,0.2579222852489748,1.0742701653417326,0.6707317073170732,0.22195121951219512
frozen_latent_head,mlp_ae@16,logistic_regression,16.0,250.0,0.1,val_macro_f1_tie_mcc_log_loss,train,0.4744642857142857,0.41375939995278715,0.393574575286898,0.1308778690030996,1.048567019225126,0.3509865005192108,0.3094496365524403
frozen_latent_head,mlp_ae@16,logistic_regression,16.0,250.0,0.1,val_macro_f1_tie_mcc_log_loss,val,0.7291666666666666,0.44274859175550035,0.4394155196210397,0.27255816989471005,0.8509234739146287,0.22295081967213115,0.2262295081967213
frozen_latent_head,mlp_ae@16,logistic_regression,16.0,250.0,0.1,val_macro_f1_tie_mcc_log_loss,test,0.4123263888888889,0.38755067604584403,0.3603144433815509,0.10867430080308128,1.0494568009331726,0.36097560975609755,0.4097560975609756
frozen_latent_head,mlp_ae@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,train,0.5,0.4376379124216205,0.41613052568618886,0.16544304493656115,1.0369718837387114,0.37331256490134995,0.3011422637590862
frozen_latent_head,mlp_ae@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,val,0.6366666666666667,0.44622528948456014,0.4289501570933138,0.1982041317143471,0.8932607236965445,0.30491803278688523,0.21967213114754097
frozen_latent_head,mlp_ae@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,test,0.3932291666666667,0.38590493721648805,0.3526281806029181,0.10026883300401894,1.1026971829551724,0.3780487804878049,0.40487804878048783
frozen_latent_head,mlp_ae@64,logistic_regression,64.0,62.5,1.0,val_macro_f1_tie_mcc_log_loss,train,0.5160714285714286,0.47516814681809344,0.4434280855002848,0.21424296590726166,1.0022255894861356,0.43302180685358255,0.3047767393561786
frozen_latent_head,mlp_ae@64,logistic_regression,64.0,62.5,1.0,val_macro_f1_tie_mcc_log_loss,val,0.5658333333333333,0.42452136437446625,0.40396762481336634,0.1480397605180899,0.9788281764621187,0.31475409836065577,0.26557377049180325
frozen_latent_head,mlp_ae@64,logistic_regression,64.0,62.5,1.0,val_macro_f1_tie_mcc_log_loss,test,0.3524305555555556,0.41421558959524907,0.34169895407466244,0.1304638561597714,1.3825359677620455,0.48048780487804876,0.4317073170731707
frozen_latent_head,pca@128,logistic_regression,128.0,31.25,1.0,val_macro_f1_tie_mcc_log_loss,train,0.5130357142857143,0.4872109048465269,0.449867739483566,0.2160892431894395,0.9829434088383604,0.46053997923156803,0.26791277258566976
frozen_latent_head,pca@128,logistic_regression,128.0,31.25,1.0,val_macro_f1_tie_mcc_log_loss,val,0.5958333333333333,0.4405862555594533,0.4191944974418032,0.17813564690484188,0.9410422800310964,0.32131147540983607,0.25901639344262295
frozen_latent_head,pca@128,logistic_regression,128.0,31.25,1.0,val_macro_f1_tie_mcc_log_loss,test,0.3888888888888889,0.41425503473363573,0.362361203289787,0.12813193956551375,1.2173823261885919,0.44146341463414634,0.3926829268292683
frozen_latent_head,pca@16,logistic_regression,16.0,250.0,0.01,val_macro_f1_tie_mcc_log_loss,train,0.47535714285714287,0.4113926965956109,0.39269207339064033,0.12350767359457848,1.0439262816055142,0.34527518172377986,0.29127725856697817
frozen_latent_head,pca@16,logistic_regression,16.0,250.0,0.01,val_macro_f1_tie_mcc_log_loss,val,0.5958333333333333,0.43163216560253087,0.39733363829801976,0.16492942487531495,0.8787630569138435,0.3180327868852459,0.21311475409836064
frozen_latent_head,pca@16,logistic_regression,16.0,250.0,0.01,val_macro_f1_tie_mcc_log_loss,test,0.3602430555555556,0.38177853746192447,0.33439226821639595,0.09641768312397753,1.1057856304349565,0.40487804878048783,0.44146341463414634
frozen_latent_head,pca@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,train,0.49839285714285714,0.4379019696450053,0.4159718816502656,0.16416800860385283,1.0335632148041032,0.37538940809968846,0.29854620976116303
frozen_latent_head,pca@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,val,0.6941666666666667,0.4526727895948875,0.42957697212851403,0.25193879663861224,0.8575467744866823,0.2754098360655738,0.2262295081967213
frozen_latent_head,pca@32,logistic_regression,32.0,125.0,0.01,val_macro_f1_tie_mcc_log_loss,test,0.3914930555555556,0.40854206385729624,0.3619241385633056,0.12002747489885575,1.12615001262364,0.4268292682926829,0.3829268292682927
frozen_latent_head,pca@64,logistic_regression,64.0,62.5,0.01,val_macro_f1_tie_mcc_log_loss,train,0.5107142857142857,0.4681510004880409,0.4382641661504813,0.19886414419746856,1.015554885779455,0.4241952232606438,0.2850467289719626
frozen_latent_head,pca@64,logistic_regression,64.0,62.5,0.01,val_macro_f1_tie_mcc_log_loss,val,0.5875,0.44317063829142983,0.4182561703346985,0.1709668400218988,0.9374825184368609,0.3344262295081967,0.2360655737704918
frozen_latent_head,pca@64,logistic_regression,64.0,62.5,0.01,val_macro_f1_tie_mcc_log_loss,test,0.3776041666666667,0.40017750312274014,0.35046502674607777,0.1114161936641938,1.1764163028288215,0.424390243902439,0.4024390243902439
frozen_latent_head,pca@8,logistic_regression,8.0,500.0,10.0,val_macro_f1_tie_mcc_log_loss,train,0.4782142857142857,0.395660405218786,0.3827697803851744,0.11010802450575836,1.051218783360705,0.31048805815160957,0.30218068535825543
frozen_latent_head,pca@8,logistic_regression,8.0,500.0,10.0,val_macro_f1_tie_mcc_log_loss,val,0.7616666666666667,0.4566082881796368,0.4663965642788617,0.3224317294544317,0.8762055841363423,0.21967213114754097,0.1901639344262295
frozen_latent_head,pca@8,logistic_regression,8.0,500.0,10.0,val_macro_f1_tie_mcc_log_loss,test,0.3333333333333333,0.3772664519098021,0.3179815085784277,0.09624288762361455,1.1352923584676242,0.424390243902439,0.4878048780487805
