model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
train_mean_window,train_mean_window,,test,6,ask,volume,1.9778023958206177,1.1595410108566284,0.4138026237487793
train_mean_window,train_mean_window,,test,7,bid,price,0.0136662172153592,0.1162866428494453,0.0460414513945579
train_mean_window,train_mean_window,,test,7,ask,price,0.0138051602989435,0.1169145852327346,0.0469467155635356
train_mean_window,train_mean_window,,test,7,bid,volume,1.4855988025665283,1.0815736055374146,0.7185245752334595
train_mean_window,train_mean_window,,test,7,ask,volume,1.0948585271835327,0.7285395860671997,0.285304307937622
train_mean_window,train_mean_window,,test,8,bid,price,0.0136694563552737,0.1162992194294929,0.0459963083267211
train_mean_window,train_mean_window,,test,8,ask,price,0.0138018690049648,0.1169017627835273,0.0469919517636299
train_mean_window,train_mean_window,,test,8,bid,volume,2.2621190547943115,1.2134119272232056,0.7357260584831238
train_mean_window,train_mean_window,,test,8,ask,volume,2.7173426151275635,1.348536491394043,0.5182075500488281
train_mean_window,train_mean_window,,test,9,bid,price,0.0136726256459951,0.1163114979863166,0.0459510385990142
train_mean_window,train_mean_window,,test,9,ask,price,0.0137986280024051,0.1168891414999961,0.0470372699201107
train_mean_window,train_mean_window,,test,9,bid,volume,4.8413591384887695,1.8947296142578125,0.9279781579971312
train_mean_window,train_mean_window,,test,9,ask,volume,2.6348509788513184,1.3766305446624756,0.6221080422401428
train_mean_window,train_mean_window,,test,10,bid,price,0.0136757781729102,0.1163237020373344,0.0459057129919528
train_mean_window,train_mean_window,,test,10,ask,price,0.0137953292578458,0.1168762668967247,0.0470824651420116
train_mean_window,train_mean_window,,test,10,bid,volume,8.830526351928711,2.636678457260132,1.1153448820114136
train_mean_window,train_mean_window,,test,10,ask,volume,4.390254974365234,1.7418793439865112,0.6310750842094421
