model,model_variant,latent_dim,split,midprice_mae,spread_mae,best_bid_mae,best_ask_mae,volume_nonnegative_ratio,imbalance_denominator_small_ratio,imbalance_valid_ratio,imbalance_valid,top1_volume_nonnegative_ratio,top1_imbalance_denominator_small_ratio,top1_imbalance_valid_ratio,top1_imbalance_valid,top1_imbalance_mae,top5_volume_nonnegative_ratio,top5_imbalance_denominator_small_ratio,top5_imbalance_valid_ratio,top5_imbalance_valid,top5_imbalance_mae,top1_volume_sum_mae,top5_volume_sum_mae,top1_volume_diff_mae,top5_volume_diff_mae
train_mean_window,train_mean_window,,train,0.0899948999285698,0.0002651203249115497,0.09000854939222336,0.08998142927885056,0.08037946428571428,0.7186160714285714,0.08037946428571428,False,0.0,1.0,0.0,False,,0.16075892857142857,0.43723214285714285,0.16075892857142857,False,,0.6490294933319092,2.8966779708862305,0.5572225451469421,3.4852941036224365
train_mean_window,train_mean_window,,val,0.1688561588525772,0.00021510542137548327,0.16888722777366638,0.16882506012916565,0.3126041666666667,0.5332291666666666,0.3126041666666667,False,0.0,1.0,0.0,False,,0.6252083333333334,0.06645833333333333,0.6252083333333334,False,,0.9567777514457703,6.445666313171387,0.823525071144104,6.462626934051514
train_mean_window,train_mean_window,,test,0.2289697676897049,0.00024018612748477608,0.22898989915847778,0.22894959151744843,0.1392144097222222,0.7029079861111112,0.1392144097222222,False,0.0,1.0,0.0,False,,0.2784288194444444,0.4058159722222222,0.2784288194444444,False,,0.6370087265968323,2.85254168510437,0.594249963760376,4.304706573486328
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,0.006397172808647156,0.0003081686154473573,0.00640353187918663,0.006398329511284828,0.06104196428571429,0.7098392857142857,0.06104196428571429,False,0.015673214285714287,0.9106410714285714,0.015673214285714287,False,,0.10641071428571429,0.5090375,0.10641071428571429,False,,0.6287206411361694,1.1799770593643188,0.65653395652771,1.301800012588501
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,0.006605268456041813,0.00022532122966367751,0.006590171717107296,0.006620993837714195,0.3197291666666667,0.36501666666666666,0.3197291666666667,False,0.08433333333333333,0.64495,0.08433333333333333,False,,0.555125,0.08508333333333333,0.555125,False,,0.7243421673774719,1.4872013330459595,0.9582909345626831,1.7277127504348755
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,0.011006087064743042,0.0002737894537858665,0.011034918949007988,0.010981281287968159,0.12029947916666667,0.6904600694444445,0.12029947916666667,False,0.01920138888888889,0.8689236111111112,0.01920138888888889,False,,0.22139756944444444,0.5119965277777778,0.22139756944444444,False,,0.6891533732414246,1.6442968845367432,0.7326177358627319,1.600902795791626
pca,pca@8,8.0,train,0.024321306496858597,0.0002799582143779844,0.024334046989679337,0.0243150033056736,0.056347321428571434,0.6922616071428571,0.056347321428571434,False,0.015239285714285714,0.9100625,0.015239285714285714,False,,0.09745535714285715,0.4744607142857143,0.09745535714285715,False,,0.5492227673530579,0.8646317720413208,0.5483723282814026,1.0940536260604858
pca,pca@8,8.0,val,0.04333342984318733,0.00020369769481476396,0.043351881206035614,0.04331662505865097,0.3083666666666667,0.319525,0.3083666666666667,False,0.13284166666666666,0.5698666666666666,0.13284166666666666,False,,0.48389166666666666,0.06918333333333333,0.48389166666666666,False,,0.6781243681907654,1.4515998363494873,0.8353857398033142,1.6782257556915283
pca,pca@8,8.0,test,0.05503593757748604,0.00023129321925807744,0.05504675954580307,0.05502590909600258,0.1122265625,0.6364192708333334,0.1122265625,False,0.05912326388888889,0.8213020833333333,0.05912326388888889,False,,0.16532986111111111,0.45153645833333333,0.16532986111111111,False,,0.7115218043327332,1.5001928806304932,0.5793079733848572,2.2174394130706787
pca,pca@16,16.0,train,0.011189449578523636,0.00027489892090670764,0.011191198602318764,0.01120514702051878,0.06619553571428571,0.6888642857142857,0.06619553571428571,False,0.020225,0.8946839285714285,0.020225,False,,0.11216607142857143,0.4830446428571429,0.11216607142857143,False,,0.47639742493629456,0.7275611162185669,0.5262032151222229,0.8936683535575867
pca,pca@16,16.0,val,0.022400803864002228,0.00021130057575646788,0.022406848147511482,0.022398222237825394,0.3677625,0.32704999999999995,0.3677625,False,0.16494166666666665,0.5841666666666666,0.16494166666666665,False,,0.5705833333333333,0.06993333333333333,0.5705833333333333,False,,0.6470109224319458,1.0961729288101196,0.8454800248146057,1.3385026454925537
pca,pca@16,16.0,test,0.021449554711580276,0.0002312131255166605,0.021447855979204178,0.021458765491843224,0.13039496527777777,0.6479123263888888,0.13039496527777777,False,0.037760416666666664,0.8212065972222222,0.037760416666666664,False,,0.2230295138888889,0.47461805555555553,0.2230295138888889,False,,0.5777592658996582,1.1452045440673828,0.6189131140708923,1.240517020225525
pca,pca@32,32.0,train,0.009747459553182125,0.0002765375538729131,0.009756341576576233,0.009760623797774315,0.07562142857142858,0.6780839285714285,0.07562142857142858,False,0.03078392857142857,0.8760821428571428,0.03078392857142857,False,,0.12045892857142858,0.4800857142857143,0.12045892857142858,False,,0.3821926414966583,0.6883261799812317,0.4497225880622864,0.8019759058952332
pca,pca@32,32.0,val,0.014574275352060795,0.00022692320635542274,0.014574551023542881,0.014581946656107903,0.348075,0.3257791666666667,0.348075,False,0.13315833333333332,0.58235,0.13315833333333332,False,,0.5629916666666667,0.06920833333333333,0.5629916666666667,False,,0.49282512068748474,1.0193798542022705,0.6640421748161316,1.1042827367782593
pca,pca@32,32.0,test,0.013657841831445694,0.00022629906015936285,0.013652585446834564,0.01367340050637722,0.1412152777777778,0.6504817708333334,0.1412152777777778,False,0.040225694444444446,0.8323784722222223,0.040225694444444446,False,,0.2422048611111111,0.46858506944444445,0.2422048611111111,False,,0.4899772107601166,1.0567848682403564,0.5618424415588379,1.0386872291564941
pca,pca@64,64.0,train,0.011127782985568047,0.0002788043930195272,0.011136488988995552,0.011137132532894611,0.08303303571428572,0.6626785714285715,0.08303303571428572,False,0.03934107142857143,0.8519892857142857,0.03934107142857143,False,,0.126725,0.4733678571428571,0.126725,False,,0.2885138988494873,0.5890531539916992,0.34649136662483215,0.6709330677986145
pca,pca@64,64.0,val,0.01671653240919113,0.00024322501849383116,0.01671616919338703,0.01672474481165409,0.35861666666666664,0.3244125,0.35861666666666664,False,0.14970833333333333,0.5797166666666667,0.14970833333333333,False,,0.567525,0.06910833333333333,0.567525,False,,0.34944427013397217,0.8108981847763062,0.48696666955947876,0.8774447441101074
pca,pca@64,64.0,test,0.015981541946530342,0.0002479989198036492,0.01597554236650467,0.0159971471875906,0.1468142361111111,0.6319618055555556,0.1468142361111111,False,0.049123263888888886,0.8107899305555556,0.049123263888888886,False,,0.24450520833333333,0.45313368055555553,0.24450520833333333,False,,0.38134250044822693,0.8389201760292053,0.44807374477386475,0.8579058051109314
pca,pca@128,128.0,train,0.012894226238131523,0.00028334720991551876,0.012900512665510178,0.012899581342935562,0.08942678571428571,0.6534625000000001,0.08942678571428571,False,0.04303571428571429,0.8403553571428571,0.04303571428571429,False,,0.13581785714285713,0.46656964285714286,0.13581785714285713,False,,0.22984999418258667,0.44584137201309204,0.277415931224823,0.5288316011428833
pca,pca@128,128.0,val,0.018143631517887115,0.00025614394689910114,0.018139615654945374,0.018152132630348206,0.3739041666666667,0.3188916666666667,0.3739041666666667,False,0.15875,0.5669583333333333,0.15875,False,,0.5890583333333334,0.070825,0.5890583333333334,False,,0.2650493383407593,0.5611757040023804,0.36647090315818787,0.6552377343177795
pca,pca@128,128.0,test,0.02095983922481537,0.000271798693574965,0.020958855748176575,0.020967118442058563,0.15377604166666667,0.6150520833333334,0.15377604166666667,False,0.05071180555555556,0.7894357638888889,0.05071180555555556,False,,0.2568402777777778,0.4406684027777778,0.2568402777777778,False,,0.2944910228252411,0.5978739261627197,0.35495391488075256,0.651458203792572
mlp_ae,mlp_ae@16,16.0,train,0.01230198610574007,0.006931760348379612,0.012890918180346489,0.012951470911502838,0.07467410714285713,0.6803312499999999,0.07467410714285713,False,0.029901785714285714,0.8808410714285714,0.029901785714285714,False,,0.11944642857142856,0.47982142857142857,0.11944642857142856,False,,0.38792210817337036,0.6584938764572144,0.4370134174823761,0.7864589095115662
mlp_ae,mlp_ae@16,16.0,val,0.03287364915013313,0.01666676439344883,0.03438270837068558,0.03383810818195343,0.2516833333333333,0.34150833333333336,0.2516833333333333,False,0.12668333333333334,0.6083833333333334,0.12668333333333334,False,,0.3766833333333333,0.07463333333333333,0.3766833333333333,False,,0.6429227590560913,1.8837779760360718,0.7930359244346619,1.5573740005493164
