model,model_variant,latent_dim,split,group,normalized_mse,normalized_mae,original_mae
train_mean_window,train_mean_window,,train,all,1.0,0.48327311873435974,0.3045845329761505
train_mean_window,train_mean_window,,train,price,1.0,0.20066504180431366,0.07570432871580124
train_mean_window,train_mean_window,,train,volume,1.0,0.7658812403678894,0.5334647297859192
train_mean_window,train_mean_window,,train,bid_price,1.0,0.200629323720932,0.07525614649057388
train_mean_window,train_mean_window,,train,ask_price,1.0,0.2007007598876953,0.0761525109410286
train_mean_window,train_mean_window,,train,bid_volume,1.0,0.7434309124946594,0.7908377051353455
train_mean_window,train_mean_window,,train,ask_volume,1.0,0.7883315086364746,0.2760918140411377
train_mean_window,train_mean_window,,train,top_of_book,1.0,0.4140350818634033,0.2632116973400116
train_mean_window,train_mean_window,,train,last_step,1.0,0.48063457012176514,0.3051491677761078
train_mean_window,train_mean_window,,val,all,0.577896773815155,0.46621355414390564,0.270443856716156
train_mean_window,train_mean_window,,val,price,0.014539215713739395,0.1168515756726265,0.04312320798635483
train_mean_window,train_mean_window,,val,volume,1.1412544250488281,0.8155755400657654,0.4977644681930542
train_mean_window,train_mean_window,,val,bid_price,0.014551803469657898,0.11682987213134766,0.0428193025290966
train_mean_window,train_mean_window,,val,ask_price,0.014526627957820892,0.11687327921390533,0.04342711716890335
train_mean_window,train_mean_window,,val,bid_volume,0.5867524743080139,0.6428295969963074,0.6429862976074219
train_mean_window,train_mean_window,,val,ask_volume,1.695756196975708,0.9883214831352234,0.3525426685810089
train_mean_window,train_mean_window,,val,top_of_book,0.23549649119377136,0.3194179832935333,0.17959630489349365
train_mean_window,train_mean_window,,val,last_step,0.5137490630149841,0.4522826373577118,0.26582783460617065
train_mean_window,train_mean_window,,test,all,1.0436913967132568,0.6120688915252686,0.35350674390792847
train_mean_window,train_mean_window,,test,price,0.013229288160800934,0.11317413300275803,0.04258666932582855
train_mean_window,train_mean_window,,test,volume,2.0741536617279053,1.1109635829925537,0.6644267439842224
train_mean_window,train_mean_window,,test,bid_price,0.01313786394894123,0.11270109564065933,0.042203471064567566
train_mean_window,train_mean_window,,test,ask_price,0.013320713303983212,0.11364716291427612,0.04296986386179924
train_mean_window,train_mean_window,,test,bid_volume,2.0158743858337402,1.0592713356018066,0.9158987998962402
train_mean_window,train_mean_window,,test,ask_volume,2.132432699203491,1.1626557111740112,0.4129546582698822
train_mean_window,train_mean_window,,test,top_of_book,0.30722370743751526,0.38993051648139954,0.24877914786338806
train_mean_window,train_mean_window,,test,last_step,1.041768193244934,0.6151458024978638,0.35886111855506897
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,all,1.1886342763900757,0.3460719883441925,0.19956891238689423
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,price,1.4298444986343384,0.14625637233257294,0.05568360909819603
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,volume,0.9474239349365234,0.5458875894546509,0.34345418214797974
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,bid_price,1.4298367500305176,0.14626500010490417,0.055363550782203674
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,ask_price,1.4298523664474487,0.1462477445602417,0.056003671139478683
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,bid_volume,0.7799412608146667,0.47119447588920593,0.47145411372184753
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,ask_volume,1.114906668663025,0.6205807328224182,0.21545428037643433
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,top_of_book,1.542304277420044,0.3654482960700989,0.23556672036647797
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,last_step,0.0,0.0,0.0
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,all,0.3668297827243805,0.23529942333698273,0.12111679464578629
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,price,0.0003181972133461386,0.008910123258829117,0.002636817516759038
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,volume,0.73334139585495,0.461688756942749,0.23959676921367645
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,bid_price,0.00034456749563105404,0.00936584360897541,0.0027708285488188267
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,ask_price,0.0002918269601650536,0.008454402908682823,0.0025028069503605366
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,bid_volume,0.4921432435512543,0.36063748598098755,0.2820204198360443
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,ask_volume,0.974539577960968,0.5627400279045105,0.1971731036901474
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,top_of_book,0.26297304034233093,0.2388152927160263,0.11959925293922424
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,last_step,0.0,0.0,0.0
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,all,0.662648618221283,0.35627415776252747,0.1701444387435913
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,price,0.00038094769115559757,0.010937342420220375,0.0032436761539429426
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,volume,1.3249162435531616,0.7016110420227051,0.33704522252082825
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,bid_price,0.000396884570363909,0.011292554438114166,0.0033390994649380445
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,ask_price,0.0003650108410511166,0.010582128539681435,0.003148253308609128
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,bid_volume,1.1399778127670288,0.5520946979522705,0.37289735674858093
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,ask_volume,1.509854793548584,0.8511273264884949,0.3011930584907532
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,top_of_book,0.41481027007102966,0.28614726662635803,0.1233190968632698
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,last_step,0.0,0.0,0.0
pca,pca@8,8.0,train,all,0.36214467883110046,0.3119475841522217,0.19014427065849304
pca,pca@8,8.0,train,price,0.19549591839313507,0.0906933918595314,0.031498983502388
pca,pca@8,8.0,train,volume,0.528793454170227,0.5332018136978149,0.3487895429134369
pca,pca@8,8.0,train,bid_price,0.19554013013839722,0.09067703038454056,0.03131202980875969
pca,pca@8,8.0,train,ask_price,0.19545169174671173,0.09070975333452225,0.03168593719601631
pca,pca@8,8.0,train,bid_volume,0.4373406171798706,0.47596389055252075,0.4907803535461426
pca,pca@8,8.0,train,ask_volume,0.6202463507652283,0.5904396176338196,0.2067987471818924
pca,pca@8,8.0,train,top_of_book,0.840265691280365,0.393266886472702,0.24615103006362915
pca,pca@8,8.0,train,last_step,0.4332379400730133,0.3555431067943573,0.2144709825515747
pca,pca@8,8.0,val,all,0.34568554162979126,0.32555678486824036,0.1843874752521515
pca,pca@8,8.0,val,price,0.004982690326869488,0.052153076976537704,0.017110351473093033
pca,pca@8,8.0,val,volume,0.686388373374939,0.5989605188369751,0.35166457295417786
pca,pca@8,8.0,val,bid_price,0.004999965894967318,0.05216379463672638,0.016978345811367035
pca,pca@8,8.0,val,ask_price,0.004965415224432945,0.05214235559105873,0.01724235527217388
pca,pca@8,8.0,val,bid_volume,0.4337392747402191,0.522223174571991,0.4655822813510895
pca,pca@8,8.0,val,ask_volume,0.9390375018119812,0.6756978034973145,0.23774689435958862
pca,pca@8,8.0,val,top_of_book,0.24312902987003326,0.3326466381549835,0.19980807602405548
pca,pca@8,8.0,val,last_step,0.32188472151756287,0.3448229134082794,0.1930479258298874
pca,pca@8,8.0,test,all,0.5158528089523315,0.45930445194244385,0.2442840188741684
pca,pca@8,8.0,test,price,0.02816256880760193,0.13062727451324463,0.04709351435303688
pca,pca@8,8.0,test,volume,1.0035431385040283,0.7879815697669983,0.4414745569229126
pca,pca@8,8.0,test,bid_price,0.02817363478243351,0.13066287338733673,0.04687118157744408
pca,pca@8,8.0,test,ask_price,0.0281515009701252,0.13059167563915253,0.04731585085391998
pca,pca@8,8.0,test,bid_volume,0.8685373067855835,0.7121712565422058,0.5766028165817261
pca,pca@8,8.0,test,ask_volume,1.1385488510131836,0.8637919425964355,0.3063462972640991
pca,pca@8,8.0,test,top_of_book,0.4602384567260742,0.42640748620033264,0.18822228908538818
pca,pca@8,8.0,test,last_step,0.5940377116203308,0.5456071496009827,0.272646427154541
pca,pca@16,16.0,train,all,0.268607497215271,0.24848365783691406,0.15251334011554718
pca,pca@16,16.0,train,price,0.1368691772222519,0.05821210891008377,0.01852678321301937
pca,pca@16,16.0,train,volume,0.4003458023071289,0.43875521421432495,0.28649988770484924
pca,pca@16,16.0,train,bid_price,0.13691870868206024,0.058202605694532394,0.018417520448565483
pca,pca@16,16.0,train,ask_price,0.13681964576244354,0.058221619576215744,0.01863604411482811
pca,pca@16,16.0,train,bid_volume,0.3254881799221039,0.3912271559238434,0.40301623940467834
pca,pca@16,16.0,train,ask_volume,0.47520339488983154,0.4862833023071289,0.16998352110385895
pca,pca@16,16.0,train,top_of_book,0.6982351541519165,0.33039554953575134,0.19817909598350525
pca,pca@16,16.0,train,last_step,0.33803895115852356,0.291776180267334,0.17888280749320984
pca,pca@16,16.0,val,all,0.26217952370643616,0.28500884771347046,0.1691354215145111
pca,pca@16,16.0,val,price,0.0028914855793118477,0.03340529277920723,0.009332751855254173
pca,pca@16,16.0,val,volume,0.5214675664901733,0.5366123914718628,0.3289380669593811
pca,pca@16,16.0,val,bid_price,0.0029242252930998802,0.03350074216723442,0.009283282794058323
pca,pca@16,16.0,val,ask_price,0.002858746098354459,0.03330983966588974,0.009382222779095173
pca,pca@16,16.0,val,bid_volume,0.3693625032901764,0.4871409833431244,0.4516782760620117
pca,pca@16,16.0,val,ask_volume,0.6735725998878479,0.5860837697982788,0.2061978429555893
pca,pca@16,16.0,val,top_of_book,0.2429586946964264,0.33255070447921753,0.21401679515838623
