model,model_variant,latent_dim,split,timestep,normalized_mse,normalized_mae
train_mean_window,train_mean_window,,train,85,1.0,0.5293073654174805
train_mean_window,train_mean_window,,train,86,1.0,0.5255481600761414
train_mean_window,train_mean_window,,train,87,0.9999999403953552,0.5333447456359863
train_mean_window,train_mean_window,,train,88,1.0000001192092896,0.5255352258682251
train_mean_window,train_mean_window,,train,89,1.0,0.5293266177177429
train_mean_window,train_mean_window,,train,90,1.0,0.5255679488182068
train_mean_window,train_mean_window,,train,91,1.0,0.5333625674247742
train_mean_window,train_mean_window,,train,92,1.0,0.5255541205406189
train_mean_window,train_mean_window,,train,93,1.0,0.5293459892272949
train_mean_window,train_mean_window,,train,94,1.0,0.5255869626998901
train_mean_window,train_mean_window,,train,95,1.0,0.5333809852600098
train_mean_window,train_mean_window,,train,96,1.0,0.5255721807479858
train_mean_window,train_mean_window,,train,97,1.0,0.5293633937835693
train_mean_window,train_mean_window,,train,98,1.0,0.525606632232666
train_mean_window,train_mean_window,,train,99,1.0,0.5334002375602722
train_mean_window,train_mean_window,,val,0,2.5305047035217285,0.9195906519889832
train_mean_window,train_mean_window,,val,1,2.548039674758911,0.9252701997756958
train_mean_window,train_mean_window,,val,2,2.4926469326019287,0.9151635766029358
train_mean_window,train_mean_window,,val,3,2.528219699859619,0.93170166015625
train_mean_window,train_mean_window,,val,4,2.532294988632202,0.9199446439743042
train_mean_window,train_mean_window,,val,5,2.549940347671509,0.9256409406661987
train_mean_window,train_mean_window,,val,6,2.4944844245910645,0.9155216217041016
train_mean_window,train_mean_window,,val,7,2.530060291290283,0.9320670366287231
train_mean_window,train_mean_window,,val,8,2.534123659133911,0.9203014969825745
train_mean_window,train_mean_window,,val,9,2.5517971515655518,0.9260024428367615
train_mean_window,train_mean_window,,val,10,2.496305227279663,0.9158773422241211
train_mean_window,train_mean_window,,val,11,2.5318996906280518,0.9324521422386169
train_mean_window,train_mean_window,,val,12,2.5360653400421143,0.9206823706626892
train_mean_window,train_mean_window,,val,13,2.553757429122925,0.926388680934906
train_mean_window,train_mean_window,,val,14,2.4982311725616455,0.9162552356719971
train_mean_window,train_mean_window,,val,15,2.5338151454925537,0.9328362345695496
train_mean_window,train_mean_window,,val,16,2.5380022525787354,0.9210633039474487
train_mean_window,train_mean_window,,val,17,2.555704116821289,0.9267649054527283
train_mean_window,train_mean_window,,val,18,2.5006916522979736,0.9167245030403137
train_mean_window,train_mean_window,,val,19,2.536268472671509,0.9332975149154663
train_mean_window,train_mean_window,,val,20,2.5403614044189453,0.9215128421783447
train_mean_window,train_mean_window,,val,21,2.55810809135437,0.9272234439849854
train_mean_window,train_mean_window,,val,22,2.5030484199523926,0.9171707630157471
train_mean_window,train_mean_window,,val,23,2.5387282371520996,0.9337590932846069
train_mean_window,train_mean_window,,val,24,2.542760133743286,0.9219689965248108
train_mean_window,train_mean_window,,val,25,2.5605506896972656,0.9276891350746155
train_mean_window,train_mean_window,,val,26,2.5054502487182617,0.9176279306411743
train_mean_window,train_mean_window,,val,27,2.541346311569214,0.9342541694641113
train_mean_window,train_mean_window,,val,28,2.5452842712402344,0.9224526286125183
train_mean_window,train_mean_window,,val,29,2.5631558895111084,0.9281758069992065
train_mean_window,train_mean_window,,val,30,2.50797176361084,0.9181073307991028
train_mean_window,train_mean_window,,val,31,2.543980836868286,0.9347589612007141
train_mean_window,train_mean_window,,val,32,2.547715187072754,0.9229199290275574
train_mean_window,train_mean_window,,val,33,2.566054105758667,0.9287029504776001
train_mean_window,train_mean_window,,val,34,2.5108649730682373,0.9186285734176636
train_mean_window,train_mean_window,,val,35,2.5468392372131348,0.9352679252624512
train_mean_window,train_mean_window,,val,36,2.550586700439453,0.9234209656715393
train_mean_window,train_mean_window,,val,37,2.5689258575439453,0.9292104244232178
train_mean_window,train_mean_window,,val,38,2.513739585876465,0.9191340208053589
train_mean_window,train_mean_window,,val,39,2.549727201461792,0.9357861280441284
train_mean_window,train_mean_window,,val,40,2.5534887313842773,0.9239330887794495
train_mean_window,train_mean_window,,val,41,2.571809768676758,0.9297214150428772
train_mean_window,train_mean_window,,val,42,2.51664662361145,0.9196456074714661
train_mean_window,train_mean_window,,val,43,2.5526368618011475,0.9363043904304504
train_mean_window,train_mean_window,,val,44,2.556368112564087,0.9244405031204224
train_mean_window,train_mean_window,,val,45,2.57479190826416,0.9302552342414856
train_mean_window,train_mean_window,,val,46,2.5195670127868652,0.9201633930206299
train_mean_window,train_mean_window,,val,47,2.555584669113159,0.9368339776992798
train_mean_window,train_mean_window,,val,48,2.5589659214019775,0.9249114394187927
train_mean_window,train_mean_window,,val,49,2.5774290561676025,0.9307299852371216
train_mean_window,train_mean_window,,val,50,2.5221660137176514,0.9206318259239197
train_mean_window,train_mean_window,,val,51,2.5583038330078125,0.9373266696929932
train_mean_window,train_mean_window,,val,52,2.561577081680298,0.9253893494606018
train_mean_window,train_mean_window,,val,53,2.580090284347534,0.9312156438827515
train_mean_window,train_mean_window,,val,54,2.524790048599243,0.9211116433143616
train_mean_window,train_mean_window,,val,55,2.5610334873199463,0.937818169593811
train_mean_window,train_mean_window,,val,56,2.5641937255859375,0.9258642792701721
train_mean_window,train_mean_window,,val,57,2.5827555656433105,0.9317003488540649
train_mean_window,train_mean_window,,val,58,2.5273449420928955,0.9215854406356812
train_mean_window,train_mean_window,,val,59,2.563694953918457,0.9383101463317871
train_mean_window,train_mean_window,,val,60,2.566711902618408,0.9263392090797424
train_mean_window,train_mean_window,,val,61,2.5853166580200195,0.9321832060813904
train_mean_window,train_mean_window,,val,62,2.5298686027526855,0.9220603704452515
train_mean_window,train_mean_window,,val,63,2.5663340091705322,0.9388064742088318
train_mean_window,train_mean_window,,val,64,2.569248914718628,0.9268237352371216
train_mean_window,train_mean_window,,val,65,2.5879263877868652,0.9326797127723694
train_mean_window,train_mean_window,,val,66,2.532440185546875,0.9225505590438843
train_mean_window,train_mean_window,,val,67,2.5690057277679443,0.9393115043640137
train_mean_window,train_mean_window,,val,68,2.5718181133270264,0.9273124933242798
train_mean_window,train_mean_window,,val,69,2.590535879135132,0.9331721067428589
train_mean_window,train_mean_window,,val,70,2.535031795501709,0.9230556488037109
train_mean_window,train_mean_window,,val,71,2.5717012882232666,0.9398335218429565
train_mean_window,train_mean_window,,val,72,2.57442307472229,0.9278237223625183
train_mean_window,train_mean_window,,val,73,2.593188524246216,0.9336944222450256
train_mean_window,train_mean_window,,val,74,2.537660598754883,0.9235724806785583
train_mean_window,train_mean_window,,val,75,2.5744240283966064,0.9403699636459351
train_mean_window,train_mean_window,,val,76,2.5770695209503174,0.9283536672592163
train_mean_window,train_mean_window,,val,77,2.5958712100982666,0.9342321157455444
train_mean_window,train_mean_window,,val,78,2.5401484966278076,0.924078106880188
train_mean_window,train_mean_window,,val,79,2.577183485031128,0.9409172534942627
train_mean_window,train_mean_window,,val,80,2.5797173976898193,0.9288855791091919
train_mean_window,train_mean_window,,val,81,2.5985519886016846,0.934763491153717
train_mean_window,train_mean_window,,val,82,2.5428082942962646,0.924608588218689
train_mean_window,train_mean_window,,val,83,2.5799434185028076,0.9414603114128113
train_mean_window,train_mean_window,,val,84,2.5823652744293213,0.9294107556343079
train_mean_window,train_mean_window,,val,85,2.601231336593628,0.9352918267250061
train_mean_window,train_mean_window,,val,86,2.545381784439087,0.9251270890235901
train_mean_window,train_mean_window,,val,87,2.5826148986816406,0.9419922828674316
train_mean_window,train_mean_window,,val,88,2.584906816482544,0.9299240112304688
train_mean_window,train_mean_window,,val,89,2.6038222312927246,0.9358139634132385
train_mean_window,train_mean_window,,val,90,2.547952890396118,0.9256365299224854
train_mean_window,train_mean_window,,val,91,2.5853312015533447,0.9425253868103027
train_mean_window,train_mean_window,,val,92,2.587493658065796,0.9304375648498535
train_mean_window,train_mean_window,,val,93,2.606447219848633,0.9363325834274292
train_mean_window,train_mean_window,,val,94,2.550537347793579,0.9261476397514343
train_mean_window,train_mean_window,,val,95,2.588059186935425,0.9430587291717529
train_mean_window,train_mean_window,,val,96,2.590160846710205,0.9309617280960083
train_mean_window,train_mean_window,,val,97,2.609161853790283,0.93686443567276
train_mean_window,train_mean_window,,val,98,2.553159475326538,0.9266613125801086
train_mean_window,train_mean_window,,val,99,2.590796709060669,0.9435923099517822
train_mean_window,train_mean_window,,test,0,2.1605513095855713,0.9096447229385376
train_mean_window,train_mean_window,,test,1,2.17398738861084,0.9209920167922974
train_mean_window,train_mean_window,,test,2,2.1926469802856445,0.9131060838699341
train_mean_window,train_mean_window,,test,3,2.277620553970337,0.9329754114151001
train_mean_window,train_mean_window,,test,4,2.1605641841888428,0.9096894264221191
train_mean_window,train_mean_window,,test,5,2.174010992050171,0.9210439920425415
train_mean_window,train_mean_window,,test,6,2.192654609680176,0.9131557941436768
train_mean_window,train_mean_window,,test,7,2.277653217315674,0.9330248236656189
train_mean_window,train_mean_window,,test,8,2.1605474948883057,0.9097220301628113
train_mean_window,train_mean_window,,test,9,2.1739587783813477,0.9210777878761292
train_mean_window,train_mean_window,,test,10,2.192621946334839,0.9131931066513062
train_mean_window,train_mean_window,,test,11,2.277678966522217,0.9330667853355408
train_mean_window,train_mean_window,,test,12,2.1605544090270996,0.9097541570663452
train_mean_window,train_mean_window,,test,13,2.1739375591278076,0.9211076498031616
train_mean_window,train_mean_window,,test,14,2.1926157474517822,0.913226842880249
train_mean_window,train_mean_window,,test,15,2.2777016162872314,0.9331039190292358
train_mean_window,train_mean_window,,test,16,2.160621404647827,0.9097909927368164
train_mean_window,train_mean_window,,test,17,2.173999547958374,0.9211445450782776
train_mean_window,train_mean_window,,test,18,2.192667245864868,0.913259744644165
train_mean_window,train_mean_window,,test,19,2.2777187824249268,0.9331393837928772
train_mean_window,train_mean_window,,test,20,2.160717010498047,0.9098349809646606
train_mean_window,train_mean_window,,test,21,2.1741275787353516,0.9211962223052979
train_mean_window,train_mean_window,,test,22,2.1928083896636963,0.9133204221725464
train_mean_window,train_mean_window,,test,23,2.277852773666382,0.9332150220870972
train_mean_window,train_mean_window,,test,24,2.160933494567871,0.909916341304779
train_mean_window,train_mean_window,,test,25,2.174320697784424,0.9212758541107178
train_mean_window,train_mean_window,,test,26,2.1929681301116943,0.9133929014205933
train_mean_window,train_mean_window,,test,27,2.2778353691101074,0.933252215385437
train_mean_window,train_mean_window,,test,28,2.1608736515045166,0.9099544882774353
train_mean_window,train_mean_window,,test,29,2.1743340492248535,0.9213270545005798
train_mean_window,train_mean_window,,test,30,2.19287371635437,0.9134237766265869
train_mean_window,train_mean_window,,test,31,2.277831792831421,0.9332914352416992
train_mean_window,train_mean_window,,test,32,2.16076922416687,0.909984827041626
train_mean_window,train_mean_window,,test,33,2.174280881881714,0.9213610887527466
train_mean_window,train_mean_window,,test,34,2.192784547805786,0.9134523868560791
train_mean_window,train_mean_window,,test,35,2.277876853942871,0.933323085308075
train_mean_window,train_mean_window,,test,36,2.1606905460357666,0.9100097417831421
train_mean_window,train_mean_window,,test,37,2.174226760864258,0.9213841557502747
train_mean_window,train_mean_window,,test,38,2.1927592754364014,0.9134844541549683
train_mean_window,train_mean_window,,test,39,2.277984380722046,0.93336421251297
train_mean_window,train_mean_window,,test,40,2.1606733798980713,0.9100421667098999
train_mean_window,train_mean_window,,test,41,2.1741902828216553,0.9214089512825012
train_mean_window,train_mean_window,,test,42,2.192692995071411,0.9135045409202576
train_mean_window,train_mean_window,,test,43,2.2780368328094482,0.9333819150924683
