split_protocol,model_or_variant,n_runs,mean_test_macro_f1,std_test_macro_f1,min_test_macro_f1,max_test_macro_f1,mean_test_mcc,std_test_mcc,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_log_loss,std_test_log_loss,mean_fraction_test_with_overlapping_train_window,mean_fraction_test_with_near_neighbor_train_k5,mean_delta_macro_f1_vs_raw_tuned_within_run,mean_delta_mcc_vs_raw_tuned_within_run
chronological_purged,majority,1,0.26117564237944385,0.0,0.26117564237944385,0.26117564237944385,0.0,0.0,0.3333333333333333,0.0,0.8980340956307887,0.0,0.0,0.0,-0.13401249915423996,-0.1784332493791942
chronological_purged,raw_window_logistic_untuned,1,0.39874852833303703,0.0,0.39874852833303703,0.39874852833303703,0.17865751863966728,0.0,0.47480332215721077,0.0,1.2450357608784204,0.0,0.0,0.0,0.0035603867993532212,0.0002242692604730867
chronological_purged,raw_window_logistic_tuned,1,0.3951881415336838,0.0,0.3951881415336838,0.3951881415336838,0.1784332493791942,0.0,0.47636578791663925,0.0,1.2360759914668131,0.0,0.0,0.0,0.0,0.0
chronological_purged,raw_window_logistic_test_oracle,1,0.39941867566362516,0.0,0.39941867566362516,0.39941867566362516,0.17942655146205494,0.0,0.4752525584555037,0.0,1.2430808781859044,0.0,0.0,0.0,0.0042305341299413435,0.0009933020828607475
chronological_purged,reconstruction_best_latent_head,1,0.37362527533334605,0.0,0.37362527533334605,0.37362527533334605,0.1462534685001913,0.0,0.433596300922578,0.0,1.1852806451433713,0.0,0.0,0.0,-0.02156286620033776,-0.03217978087900289
chronological_purged,validation_selected_latent_head,1,0.4318430006220933,0.0,0.4318430006220933,0.4318430006220933,0.26018908580686045,0.0,0.5555716257971205,0.0,1.0623127344441619,0.0,0.0,0.0,0.036654859088409486,0.08175583642766626
chronological_purged,test_posthoc_best_latent_head,1,0.4318430006220933,0.0,0.4318430006220933,0.4318430006220933,0.26018908580686045,0.0,0.5555716257971205,0.0,1.0623127344441619,0.0,0.0,0.0,0.036654859088409486,0.08175583642766626
chronological_no_purge,majority,1,0.26117564237944385,0.0,0.26117564237944385,0.26117564237944385,0.0,0.0,0.3333333333333333,0.0,0.8980340956307887,0.0,0.0,0.0,-0.13401249915423996,-0.1784332493791942
chronological_no_purge,raw_window_logistic_untuned,1,0.39874852833303703,0.0,0.39874852833303703,0.39874852833303703,0.17865751863966728,0.0,0.47480332215721077,0.0,1.2450357608784204,0.0,0.0,0.0,0.0035603867993532212,0.0002242692604730867
chronological_no_purge,raw_window_logistic_tuned,1,0.3951881415336838,0.0,0.3951881415336838,0.3951881415336838,0.1784332493791942,0.0,0.47636578791663925,0.0,1.2360759914668131,0.0,0.0,0.0,0.0,0.0
chronological_no_purge,raw_window_logistic_test_oracle,1,0.39941867566362516,0.0,0.39941867566362516,0.39941867566362516,0.17942655146205494,0.0,0.4752525584555037,0.0,1.2430808781859044,0.0,0.0,0.0,0.0042305341299413435,0.0009933020828607475
chronological_no_purge,reconstruction_best_latent_head,1,0.37362527533334605,0.0,0.37362527533334605,0.37362527533334605,0.1462534685001913,0.0,0.433596300922578,0.0,1.1852806451433713,0.0,0.0,0.0,-0.02156286620033776,-0.03217978087900289
chronological_no_purge,validation_selected_latent_head,1,0.4318430006220933,0.0,0.4318430006220933,0.4318430006220933,0.26018908580686045,0.0,0.5555716257971205,0.0,1.0623127344441619,0.0,0.0,0.0,0.036654859088409486,0.08175583642766626
chronological_no_purge,test_posthoc_best_latent_head,1,0.4318430006220933,0.0,0.4318430006220933,0.4318430006220933,0.26018908580686045,0.0,0.5555716257971205,0.0,1.0623127344441619,0.0,0.0,0.0,0.036654859088409486,0.08175583642766626
random_window_naive,majority,5,0.26930364662070955,0.002191009302813955,0.2654127481713689,0.2716049382716049,0.0,0.0,0.3333333333333333,0.0,0.8522199359345004,0.0126435394996989,1.0,1.0,-0.18413888680476226,-0.2326533285558614
random_window_naive,raw_window_logistic_untuned,5,0.4533954083445425,0.007393443421130503,0.44546726075809623,0.4646984812166181,0.23170155811513374,0.01061993943879341,0.5182895642441602,0.010385178893912222,1.0071923009912407,0.009911228273302668,1.0,1.0,-4.71250809292556e-05,-0.000951770440727695
random_window_naive,raw_window_logistic_tuned,5,0.4534425334254718,0.007729047768375294,0.4448241169420573,0.4646984812166181,0.2326533285558614,0.012132540197194943,0.5183781978622577,0.011054999439383246,1.0075434320034153,0.009616735631464488,1.0,1.0,0.0,0.0
random_window_naive,raw_window_logistic_test_oracle,5,0.45439352233527847,0.008739617925132719,0.44546726075809623,0.46847490488605475,0.2332229141626617,0.011990433494509269,0.5197168088262035,0.011454615127037136,1.0064020717777318,0.009806174402420827,1.0,1.0,0.0009509889098066715,0.0005695856068002436
random_window_naive,reconstruction_best_latent_head,5,0.40772448066970324,0.010786368590851332,0.4002048544951217,0.42913108445895337,0.17307711735135933,0.018030150071613217,0.4489245446652156,0.014749369013694348,1.0335437999761632,0.01041528297535429,1.0,1.0,-0.04571805275576859,-0.059576211204502114
