run_id,split_protocol,seed,model_family,model_or_variant,feature_source,input_dim,latent_dim,compression_ratio,selection_basis,uses_validation_for_selection,uses_test_for_selection,is_oracle_reference,test_accuracy,test_balanced_accuracy,test_macro_f1,test_mcc,test_log_loss,test_opposite_direction_rate,n_train,n_val,n_test,delta_macro_f1_vs_raw_tuned_within_run,delta_mcc_vs_raw_tuned_within_run,delta_macro_f1_vs_majority_within_run
chronological_purged,chronological_purged,0,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6440972222222222,0.3333333333333333,0.26117564237944385,0.0,0.8980340956307887,0.0,5600,1200,1152,-0.13401249915423996,-0.1784332493791942,0.0
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.4149305555555556,0.47480332215721077,0.39874852833303703,0.17865751863966728,1.2450357608784204,0.2926829268292683,5600,1200,1152,0.0035603867993532212,0.0002242692604730867,0.13757288595359318
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.4088541666666667,0.47636578791663925,0.3951881415336838,0.1784332493791942,1.2360759914668131,0.29024390243902437,5600,1200,1152,0.0,0.0,0.13401249915423996
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.1,False,True,True,0.4157986111111111,0.4752525584555037,0.39941867566362516,0.17942655146205494,1.2430808781859044,0.2926829268292683,5600,1200,1152,0.0042305341299413435,0.0009933020828607475,0.1382430332841813
chronological_purged,chronological_purged,0,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.3967013888888889,0.433596300922578,0.37362527533334605,0.1462534685001913,1.1852806451433713,0.36829268292682926,5600,1200,1152,-0.02156286620033776,-0.03217978087900289,0.1124496329539022
chronological_purged,chronological_purged,0,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
chronological_purged,chronological_purged,0,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
chronological_no_purge,chronological_no_purge,0,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6440972222222222,0.3333333333333333,0.26117564237944385,0.0,0.8980340956307887,0.0,5600,1200,1152,-0.13401249915423996,-0.1784332493791942,0.0
chronological_no_purge,chronological_no_purge,0,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.4149305555555556,0.47480332215721077,0.39874852833303703,0.17865751863966728,1.2450357608784204,0.2926829268292683,5600,1200,1152,0.0035603867993532212,0.0002242692604730867,0.13757288595359318
chronological_no_purge,chronological_no_purge,0,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.4088541666666667,0.47636578791663925,0.3951881415336838,0.1784332493791942,1.2360759914668131,0.29024390243902437,5600,1200,1152,0.0,0.0,0.13401249915423996
