analysis,included_last_snapshot,n_variants,best_prediction_variant,best_reconstruction_variant,spearman_last_step_mse_vs_macro_f1,spearman_recon_mse_vs_macro_f1,last_snapshot_test_macro_f1,last_snapshot_test_recon_mse,last_snapshot_test_last_step_mse,note
with_last_snapshot,True,9,last_snapshot_repeat@40,pca@128,-0.7333333333333334,-0.19999999999999998,0.435539631553929,1.8321415185928345,0.0,last_snapshot_repeat has zero last-step reconstruction error by construction.
without_last_snapshot,False,8,pca@128,pca@128,-0.6190476190476191,-0.7142857142857144,0.435539631553929,1.8321415185928345,0.0,last_snapshot_repeat has zero last-step reconstruction error by construction.
